iter	Logloss
0	0.6824009717
1	0.6726560303
2	0.6619570261
3	0.6532240073
4	0.6429963713
5	0.6331435365
6	0.6239936566
7	0.61661071
8	0.6079671301
9	0.5990465678
10	0.5917219923
11	0.5841831461
12	0.5766559092
13	0.5703921356
14	0.5641378508
15	0.5577084518
16	0.5516666875
17	0.5459056602
18	0.5398952926
19	0.5342268874
20	0.5289821188
21	0.5234676967
22	0.5176897454
23	0.512871562
24	0.5076339878
25	0.5015554549
26	0.4966051273
27	0.4915773436
28	0.4867021138
29	0.4823866691
30	0.4777113232
31	0.47295295
32	0.469023486
33	0.4647300201
34	0.4610252841
35	0.4572696994
36	0.4536840198
37	0.450714999
38	0.4462695517
39	0.4424515151
40	0.4389752972
41	0.4357589809
42	0.4327408893
43	0.4289667891
44	0.4259908142
45	0.4228075601
46	0.4191763125
47	0.4168400567
48	0.4138825956
49	0.4108614594
50	0.4080712216
51	0.4050422619
52	0.4022592258
53	0.3996751508
54	0.3975995065
55	0.3951982478
56	0.39314987
57	0.3909150509
58	0.3883749597
59	0.385977385
60	0.3833769547
61	0.3811428021
62	0.3793272706
63	0.3773189337
64	0.3754167232
65	0.373516375
66	0.3711117519
67	0.369412008
68	0.3673958743
69	0.3657203284
70	0.3638139187
71	0.3620735304
72	0.3602068759
73	0.3584567913
74	0.3567506764
75	0.3550857065
76	0.3538136261
77	0.3518723138
78	0.350547678
79	0.3490537561
80	0.3476976767
81	0.346351845
82	0.3448783045
83	0.343590326
84	0.3424184634
85	0.3410229564
86	0.3398093788
87	0.3384870811
88	0.3373449227
89	0.3363403532
90	0.3352592855
91	0.3338404529
92	0.3325646672
93	0.3314592443
94	0.3303349509
95	0.3289680847
96	0.3278032094
97	0.3266453622
98	0.3256637049
99	0.324735334
100	0.32373644
101	0.3226506968
102	0.3216925777
103	0.32086721
104	0.3199513246
105	0.3190050322
106	0.3181594384
107	0.317281803
108	0.3163759191
109	0.3154219376
110	0.314602674
111	0.3139983104
112	0.3130658811
113	0.3123184625
114	0.311614043
115	0.3108008902
116	0.3101368151
117	0.3091368435
118	0.3082239068
119	0.3074066486
120	0.3067786305
121	0.3060768668
122	0.3052916732
123	0.3045049255
124	0.3038145445
125	0.3032835919
126	0.3025856949
127	0.3017548088
128	0.3009531399
129	0.3001795092
130	0.2995875642
131	0.2988759252
132	0.2982562633
133	0.2977057085
134	0.2971454144
135	0.2963479092
136	0.2958331643
137	0.2953359972
138	0.2947850724
139	0.2942596734
140	0.2936327891
141	0.2929265867
142	0.292346625
143	0.291944489
144	0.2914741396
145	0.2909961431
146	0.2903737866
147	0.2898596589
148	0.2893209728
149	0.2887927334
150	0.2883786968
151	0.2880073551
152	0.2874748875
153	0.2870334641
154	0.2866070174
155	0.286102512
156	0.2855439626
157	0.2850279238
158	0.2845746053
159	0.2840788704
160	0.2835596253
161	0.2829817899
162	0.2825855068
163	0.2821090494
164	0.2816693529
165	0.2811769409
166	0.2807390304
167	0.2802871619
168	0.2798069913
169	0.2794004422
170	0.2789909312
171	0.2786097876
172	0.27814432
173	0.277652474
174	0.27715755
175	0.2766862378
176	0.276200124
177	0.275771378
178	0.275475236
179	0.275003061
180	0.2746037405
181	0.27423924
182	0.2737412327
183	0.2733197467
184	0.2729608326
185	0.2725710822
186	0.2722219547
187	0.2719474265
188	0.2715110429
189	0.2711236041
190	0.2708280608
191	0.2704373271
192	0.2699776046
193	0.269589252
194	0.2692799388
195	0.2690447883
196	0.2686256117
197	0.2682368882
198	0.2679577425
199	0.2676430188
200	0.2673609787
201	0.2669229271
202	0.2665869409
203	0.2662902029
204	0.2659404869
205	0.2656066864
206	0.2652718125
207	0.2649381108
208	0.2645467077
209	0.2641949202
210	0.2638585471
211	0.2634782719
212	0.2631147623
213	0.2628248808
214	0.2625701105
215	0.2622339544
216	0.2619319543
217	0.2616554449
218	0.2613615104
219	0.261090243
220	0.2607764833
221	0.2604863843
222	0.2601941374
223	0.2599450659
224	0.2597118281
225	0.2594379528
226	0.2591399067
227	0.258865368
228	0.2586042043
229	0.2582833911
230	0.2580337403
231	0.2577162792
232	0.2574345499
233	0.2571477336
234	0.2569146863
235	0.2566706651
236	0.2563536438
237	0.2560869626
238	0.2557833389
239	0.2554685267
240	0.2552355134
241	0.2549245648
242	0.2547410895
243	0.2545256477
244	0.2541941197
245	0.2540056089
246	0.2537283359
247	0.2534734175
248	0.2531975696
249	0.2528542064
250	0.2526090201
251	0.2522251345
252	0.2518710382
253	0.2515981389
254	0.2513548797
255	0.2510689919
256	0.2508600707
257	0.2506723424
258	0.2504223363
259	0.2501127471
260	0.2497651297
261	0.2494348608
262	0.2491940026
263	0.2489776939
264	0.2487462446
265	0.2484485106
266	0.2480992169
267	0.2478231475
268	0.2475401314
269	0.2473029195
270	0.247042263
271	0.2467557489
272	0.2464704658
273	0.2461608157
274	0.2458941028
275	0.2456256114
276	0.2453250221
277	0.2450332478
278	0.2447596333
279	0.2443797643
280	0.2441918723
281	0.2439138878
282	0.2436360133
283	0.2432951802
284	0.2431296972
285	0.2428973396
286	0.2426337622
287	0.2423495575
288	0.2421361496
289	0.2419005959
290	0.2416591576
291	0.2414308509
292	0.2412262711
293	0.2410025729
294	0.24078227
295	0.2405127651
296	0.2403181024
297	0.2401384532
298	0.239947317
299	0.2397419655
300	0.2395005073
301	0.2393457906
302	0.2391631647
303	0.2389212547
304	0.2387171761
305	0.2385535144
306	0.2384122623
307	0.2381350907
308	0.2379134264
309	0.2376661833
310	0.237522776
311	0.2373139233
312	0.2371303428
313	0.2368815394
314	0.2367202341
315	0.2365060068
316	0.2363010929
317	0.2361364301
318	0.2358744499
319	0.235666751
320	0.2354008128
321	0.2351955686
322	0.2350183014
323	0.2348424489
324	0.234677249
325	0.2344814184
326	0.2342831442
327	0.2340182538
328	0.2337952341
329	0.2336170143
330	0.233399192
331	0.2332696825
332	0.23305758
333	0.2328666574
334	0.2326388382
335	0.2324203165
336	0.2322009485
337	0.2319724558
338	0.231774616
339	0.2316166814
340	0.2313404619
341	0.2311598993
342	0.2309645373
343	0.2307586342
344	0.2305388518
345	0.2303469165
346	0.2301913558
347	0.2299762368
348	0.2298513808
349	0.2296339114
350	0.2294336923
351	0.2292814148
352	0.2290580403
353	0.2288383623
354	0.228664028
355	0.2285169689
356	0.2283221333
357	0.2280551391
358	0.2279086403
359	0.2276716245
360	0.2274483133
361	0.2272508928
362	0.2270338422
363	0.2268362223
364	0.2266062413
365	0.2264709732
366	0.226338115
367	0.2261109668
368	0.2259284626
369	0.2257199402
370	0.2255412087
371	0.225404275
372	0.225230944
373	0.2250355924
374	0.2248785677
375	0.2246862403
376	0.2244817023
377	0.2242854666
378	0.2240644174
379	0.223866077
380	0.2236442042
381	0.2234612201
382	0.2233425365
383	0.2230826709
384	0.2229323854
385	0.2228190088
386	0.2225865505
387	0.2223688198
388	0.2221940218
389	0.2220612438
390	0.2218633209
391	0.2215804595
392	0.221363376
393	0.2211789984
394	0.2210464367
395	0.2208373483
396	0.220692811
397	0.2205678449
398	0.2203793851
399	0.2202123955
400	0.220081272
401	0.2198602576
402	0.2197028204
403	0.2195426274
404	0.219422257
405	0.2192359269
406	0.2190132504
407	0.2188944539
408	0.2187469633
409	0.2185617879
410	0.2183653909
411	0.218204903
412	0.2180244751
413	0.2178920962
414	0.2177548187
415	0.2175941429
416	0.2174626422
417	0.2172511255
418	0.2170890902
419	0.2169069036
420	0.2168158391
421	0.216664676
422	0.2165441641
423	0.2163283218
424	0.2161239921
425	0.2159374762
426	0.2158081209
427	0.2156918601
428	0.2155722946
429	0.2153788589
430	0.215238999
431	0.2150874123
432	0.2149599077
433	0.2148023919
434	0.2146647528
435	0.2144848422
436	0.2143015368
437	0.2141612662
438	0.2140234477
439	0.2138496141
440	0.2136401631
441	0.2135358281
442	0.213440325
443	0.2132504499
444	0.2130605617
445	0.2128722522
446	0.2127431244
447	0.2126242193
448	0.2123902923
449	0.2122286012
450	0.2120950104
451	0.2119396367
452	0.2117210221
453	0.2115232217
454	0.2113563488
455	0.2111618871
456	0.2109244964
457	0.2108033269
458	0.2106428134
459	0.2104645259
460	0.2102998468
461	0.2101733533
462	0.2100220299
463	0.2099102776
464	0.209737593
465	0.2096343397
466	0.2095200388
467	0.209381257
468	0.2091890928
469	0.209046906
470	0.2089294125
471	0.2087267429
472	0.2085625937
473	0.2084537671
474	0.2082724329
475	0.2081582973
476	0.2079469385
477	0.2078265554
478	0.2076443473
479	0.2074529838
480	0.2072942579
481	0.2071705075
482	0.206981077
